TÍTULO EN ESPAÑOL;TIPO DE PELÍCULA;AÑO DE ESTRENO;CONTENIDO;;
Doug: La película / Doug: Su 1ª película;Animada;1999;Spin-Off;;
Endurance;Imagen real;1999;Original ;;
Tarzán;Animada;1999;Original ;;
Inspector Gadget;Imagen real;1999;Remake ;;
The Straight Story;Imagen real;1999;Original ;;
La mano detrás del ratón: la historia de Ub Iwerks;Imagen real;1999;Documental;;
Mickey celebra la Navidad / Mickey descubre la Navidad;Animada;1999;Spin-Off;;
Toy Story 2;Animada;1999;Secuela;;
Fantasía 2000;Animada;2000;Secuela;;
La película de Tigger;Animada;2000;Spin-Off;;
Aventura elefantástica;Imagen real;2000;Secuela;;
Goofy 2: Extremadamente Goofy / Explosivamente Goofy;Animada;2000;Secuela;;
Dinosaurio;Mixta;2000;Original ;;
Buzz Lightyear Comando Estelar: La aventura comienza / Buzz Lightyear: La película;Animada;2000;Spin-Off;;
La sirenita 2: Regreso al mar;Animada;2000;Secuela;;
El chico / Mi encuentro conmigo;Imagen real;2000;Original ;;
Duelo de Titanes / Grito de Titanes;Imagen real;2000;Original ;;
102 Dálmatas;Imagen real;2000;Secuela;;
Las locuras del emperador / El emperador y sus locuras;Animada;2000;Original ;;
La dama y el vagabundo II: Las aventuras de Scamp / La dama y el vagabundo II: Las aventuras de Golfillo;Animada;2001;Secuela;;
La hija de Robin Hood;Imagen real;2001;Original ;;
Llegó el recreo / La banda del patio - La película;Animada;2001;Spin-Off;;
Atlantis: El imperio perdido;Animada;2001;Original ;;
El diario de la princesa / Princesa por sorpresa;Imagen real;2001;Original ;;
Max Keeble's Big Movie;imagen real;2001;Original ;;
The Other Side of Heaven;imagen real;2001;Original ;;
Monsters Inc. / Monstruos S.A.;Animada;2001;Original ;;
El Club de los Villanos con Mickey y sus Amigos / El Club de los Villanos;Animada;2001;Spin-Off;;
La Navidad Mágica de Mickey;Animada;2001;Spin-Off;;
Frío de perros / Aventuras en Alaska;Imagen real;2002;Original ;;
Peter Pan: El regreso al país de Nunca Jamás / Peter Pan en regreso al país de Nunca Jamás;Animada;2002;Secuela;;
El novato;Imagen real;2002;Original ;;
Lilo & Stitch;Animada;2002;Original ;;
La Cenicienta 2: Un sueño hecho realidad / La Cenicienta 2: ¡La magia no termina a medianoche!;Animada;2002;Secuela;;
El jorobado de Notre Dame 2;Animada;2002;Secuela;;
Tarzán y Jane;Animada;2002;Secuela;;
The Country Bears;Imagen real;2002;Original ;;
Tuck Everlasting;Imagen real;2002;Original ;;
Santa Cláusula 2 / Santa Claus 2;Imagen real;2002;Secuela;;
El planeta del tesoro;Animada;2002;Original ;;
101 dálmatas 2;Animada;2003;Secuela;;
El libro de la selva 2;Animada;2003;Secuela;;
La Gran Película de Piglet;Animada;2003;Spin-Off;;
Atlantis: El regreso de Milo;Animada;2003;Secuela;;
La película de Stitch;Animada;2003;Secuela;;
Los fantasmas del Titanic;Imagen real;2003;Documental;;
El misterio de los Excavadores;Imagen real;2003;Original ;;
Buscando a Nemo;Animada;2003;Original ;;
Piratas del Caribe: La maldición de la Perla Negra / Piratas del Caribe: La maldición del Perla Negra;Imagen real;2003;Original ;;
Un viernes de locos / Ponte en mi lugar;Imagen real;2003;Remake ;;
Lizzie Superstar / Lizzie McGuire: Estrella Pop;Imagen real;2003;Spin-Off;;
Tierra de osos / Hermano oso;Animada;2003;Original ;;
La Mansión Encantada / La Mansión Embrujada;Imagen real;2003;Original ;;
Kim Possible: Problemas en el Tiempo / Kim Possible: A través del tiempo;Animada;2003;Spin-Off;;
El joven corcel negro / Shetan, el caballo del desierto;Imagen real;2003;Original ;;
Mulán 2;Animada;2004;Secuela;;
El rey león 3: ¡Hakuna Matata!;Animada;2004;Secuela;;
Una Primavera con Rito;Animada;2004;Spin-Off;;
Mickey Donald y Goofy: Los tres mosqueteros;Animada;2004;Spin-Off;;
Mickey y sus amigos juntos otra Navidad / Mickey: La Mejor Navidad;Animada;2004;Spin-Off;;
Teacher's Pet / Este perro es un crack;Animada;2004;Spin-Off;;
Miracle;Imagen real;2004;Original ;;
Confesiones de una típica adolescente / Quiero ser superfamosa;Imagen real;2004;Original ;;
Vacas Vaqueras / Zafarrancho en el rancho;Animada;2004;Original ;;
Sacred Planet;Imagen real;2004;Documental;;
America's Heart and Soul;Imagen real;2004;Documental;;
El Diario De La Princesa 2 / Princesa por sorpresa 2;Imagen real;2004;Secuela;;
Los Increíbles;Animada;2004;Original ;;
La búsqueda / La leyenda del tesoro perdido;Imagen real;2004;Original ;;
Aliens of the Deep / Misterios del océano;Imagen real;2005;Documental;;
Winnie Pooh y el pequeño efelante / La película de Héffalump;Animada;2005;Spin-Off;;
Tarzán 2;Animada;2005;Secuela;;
Lilo y Stitch 2: En corto circuito / Lilo y Stitch 2: El efecto del defecto;Animada;2005;Secuela;;
Kim Possible la película: Todo un drama / Kim Possible: Sí es para Tanto;Animada;2005;Spin-Off;;
La familia Proud: La película / Los Proud: La Película;Animada;2005;Spin-Off;;
Una niñera a prueba de balas / Niñera a prueba de balas;imagen real;2005;Original ;;
Soñando soñando triunfé patinando / Sueños sobre hielo;Imagen real;2005;Original ;;
Herbie: A Tope / Herbie a toda marcha;Imagen real;2005;Reboot;;
Sky High: Una escuela de altos vuelos / Súper Escuela de Héroes;Imagen real;2005;Original ;;
El juego que hizo historia;Imagen real;2005;Original ;;
Chicken Little;Animada;2005;Original ;;
Las crónicas de Narnia: el león, la bruja y el armario / Las crónicas de Narnia: el león, la bruja y el ropero;Imagen real;2005;Original ;;
Las Locuras de Kronk / El emperador y sus locuras 2: La Gran Aventura de Kronk;Animada;2005;Secuela;;
Bambi II: El príncipe del bosque;Animada;2006;Secuela;;
Camino a la gloria;Imagen real;2006;Original ;;
Roving Mars;Imagen real;2006;Documental;;
Rescate en la Antártida / Bajo cero;Imagen real;2006;Original ;;
Un Papá con Pocas Pulgas / Cariño, estoy hecho un perro;Imagen real;2006;Original ;;
Salvaje / Vida salvaje;Imagen real;2006;Original ;;
Cars / Cars: Una aventura sobre ruedas;Animada;2006;Original ;;
Leroy y Stitch;Animada;2006;Secuela;;
Tierra de osos 2 / Hermano Oso 2;Animada;2006;Secuela;;
El zorro y el sabueso 2 / Tod y Toby 2;Animada;2006;Secuela;;
Piratas del Caribe: El cofre del hombre muerto / Piratas de Caribe: El Cofre de la Muerte;Imagen real;2006;Secuela;;
Buddy, Familia al recate / Air Buddies;Imagen real;2006;Spin-Off;;
Invencible;Imagen real;2006;Original ;;
Santa Cláusula 3 / Santa Claus 3: Por una navidad sin frío;Imagen real;2006;Secuela;;
La Cenicienta 3: Un giro en el tiempo / Cenicienta: ¿Qué pasaría sí...?;Animada;2007;Secuela;;
La Familia del Futuro / Descubriendo a los Robinson;Animada;2007;Original ;;
