;;;
;;;
Columna1;Título en español;Título original;Fecha de estreno
D;Herbie: A Tope / Herbie a toda marcha;Herbie: Fully Loaded;
D;Sky High: Una escuela de altos vuelos / Súper Escuela de Héroes;Sky High;
D;El juego que hizo historia;The Greatest Game Ever Played;
W;Chicken Little;Chicken Little;
D;Las crónicas de Narnia: el león, la bruja y el armario / Las crónicas de Narnia: el león, la bruja y el ropero;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;
T;Las Locuras de Kronk / El emperador y sus locuras 2: La Gran Aventura de Kronk;Kronk's New Groove;
T;Bambi II: El príncipe del bosque;Bambi II;2006
D;Camino a la gloria;Glory Road;
D;Roving Mars;Roving Mars;
D;Rescate en la Antártida / Bajo cero;Eight Below;
D;Un Papá con Pocas Pulgas / Cariño, estoy hecho un perro;The Shaggy Dog;
D;Salvaje / Vida salvaje;The Wild;
P;Cars / Cars: Una aventura sobre ruedas;Cars;
T;Leroy y Stitch;Leroy & Stitch;
T;Tierra de osos 2 / Hermano Oso 2;Brother bear 2;
T;El zorro y el sabueso 2 / Tod y Toby 2;The Fox and the Hound 2;
D;Piratas del Caribe: El cofre del hombre muerto / Piratas de Caribe: El Cofre de la Muerte;Pirates of the Caribbean: Dead Man's Chest;
D;Buddy, Familia al recate / Air Buddies;Air Buddies;
D;Invencible;Invincible;
D;Santa Cláusula 3 / Santa Claus 3: Por una navidad sin frío;The Santa Clause 3: The Escape Clause;
T;La Cenicienta 3: Un giro en el tiempo / Cenicienta: ¿Qué pasaría sí...?;Cinderella III: A Twist in Time;2007
W;La Familia del Futuro / Descubriendo a los Robinson;Meet The Robinsons;
D;Piratas del Caribe: en el fin del mundo;Pirates of the Caribbean: At World's End;
P;Ratatouille;Ratatouille;
D;Superdog / Supercan;Underdog;
D;La historia de Pixar;The Pixar Story;
D;Entrenando a papá / Papá por sorpresa;The Game Plan;
D;Encantada / Encantada: la historia de Giselle;Enchanted;
D;La búsqueda 2: El diario secreto / La Leyenda del Tesoro Perdido 2: El Libro de los Secretos;National Treasure: Book of Secrets;
D;Hannah Montana & Miley Cyrus en Concierto: Lo Mejor de Ambos Mundos;Hannah Montana & Miley Cyrus: Best of Both Worlds Concert;2008
D;Loco Viaje al Campus / Un viaje de aquellos;College Road Trip;
D;Las crónicas de Narnia: el príncipe Caspian;The Chronicles of Narnia: Prince Caspian;
D;Dasavathaaram;Dasavathaaram;
P;WALL·E;WALL-E;
T;La sirenita 3: los comienzos de Ariel / El Origen de la sirenita;The Little Mermaid: Ariel's Beginning;
T;Campanilla / Tinker Bell;Tinker Bell;
D;Snow Buddies - Cachorros en la nieve / Buddies en la nieve;Snow Buddies;
D;Una Chihuahua de Beverly Hills/ Un Chihuahua de Beverly Hills;Beverly Hills Chihuahua;
D;Cuentos que no son cuentos / Más allá de los Sueños;Bedtime Stories;
D;Morning Light;Morning Light;
D;High School Musical 3: Fin de Curso/ High School Musical 3: La Gradaución;High School Musical 3: Senior Year;
D;Roadside Romeo;Roadside Romeo;
W;Bolt: Un Perro fuera de serie;Bolt;
D;Jonas Brothers en concierto 3D;Jonas Brothers: The 3D Concert Experience;2009
D;La Montaña Embrujada;Race to Witch Mountain;
D;Hannah Montana: La película;Hannah Montana: The Movie;
N;La Tierra;Earth;
D;Los muchachos: la historia de los hermanos Sherman;The Boys: The Sherman Brother's Story;
D;Trail of the Panda;Trail of the Panda;
P;Up: Una Aventura de Altura;Up;
D;Kika Superbruja y el Libro de Hechizos;Hexe Lilli;
D;Fuerza G / G-Force: Licencia para espiar;G-Force;
D;Walt y el grupo;Walt & El Grupo;
D;Space Buddies;Space Buddies;
D;The Book of Masters;The Book of Masters;
D;Los Fantasmas de Scrooge / Cuento de navidad;A Christmas Carol;
D;Par de colmilludos / Dos canguros muy maduros;Old Dogs;
T;Tinker Bell y el tesoro perdido / Campanilla y el tesoro perdido;Tinker Bell and the Lost Treasure;
W;La princesa y el sapo / Tiana y el sapo;The Princess and the Frog;
;;;
;;;
;;;
;Título en español;Título original;Año de estreno
D;Tinker Bell: Hadas al rescate / Campanilla y el gran rescate;Tinker Bell and the Great Fairy Rescue;2010
D;Alicia en el país de las maravillas;Alice in Wonderland;
N;Océanos;Oceans;
D;El príncipe de Persia: Las arenas del tiempo;Prince of Persia: The Sands of Time;
P;Toy Story 3;Toy Story 3;
D;El aprendiz de brujo;The Sorcerer's Apprentice;
N;El misterio del los flamencos;The Crimson Wing: Mystery of the Flamingos;
D;Campeón / Secretariat;Secretariat;
D;Do Dooni Chaar;Do Dooni Chaar;
W;Enredados;Tangled;
D;Tron: El legado / Tron: Legacy;Tron: Legacy;
D;Anaganaga O Dheerudu;Anaganaga O Dheerudu;
D;Kika superbruja 2: el viaje a Mandolán;Lilly the Witch: The Journey to Mandolan;
D;Marte necesita mamás;Mars Needs Moms;2011
D;Zokkomon;Zokkomon;
N;Felinos de África;African Cats;
D;Fin de curso;Prom;
D;Piratas del Caribe: Navegando en aguas misteriosas / Piratas del Caribe:En mareas misteriosas;Pirates of the Caribbean: On Stranger Tides;
P;Cars 2;Cars 2;
W;Winnie the Pooh;Winnie the Pooh;
D;Los Muppets;The Muppets;
D;John Carter;John Carter of Mars;2012
N;Chimpancés;Chimpanzee;
D;Arjun: El príncipe guerrero;Arjun: The Warrior Prince;
P;Valiente / Indomable;Brave;
D;La extraña vida de Timothy Green;The Odd Life of Timothy Green;
D;Frankenweenie;Frankenweenie;
W;Ralph el demoledor / ¡Rompe Ralph!;Wreck-It-Ralph;
T;Tinker Bell y el secreto de las hadas / Campanilla y el secreto de las hadas;Secret of the Wings;
D;Oz, el poderoso / Oz: Un mundo de fantasía;Oz: The Great and Powerful;2013
N;Alas de vida;Wings of Life;
P;Monsters University / Monstruos University;Monsters University;
D;El llanero solitario;The Lone Ranger;
T;Aviones;Planes;
W;Frozen: Una Aventura Congelada / Frozen: El reino de hielo;Frozen;
D;El sueño de Walt / Al encuentro de Mr. Banks;Saving Mr. Banks;
D;Muppets 2: Los más buscados / El tour de los Muppets;Muppets Most Wanted;2014
N;Osos;Bears;
D;Un golpe de talento;Million Dollar Arm;
D;Maléfica;Maleficent;
