Título en español;Título original;Fecha de estreno;$ Recaudación 
La sirenita 3: los comienzos de Ariel / El Origen de la sirenita;The Little Mermaid: Ariel's Beginning;2008;
Campanilla / Tinker Bell;Tinker Bell;2008;9208064
Snow Buddies - Cachorros en la nieve / Buddies en la nieve;Snow Buddies;2008;
Una Chihuahua de Beverly Hills/ Un Chihuahua de Beverly Hills;Beverly Hills Chihuahua;2008;110932022
Cuentos que no son cuentos / Más allá de los Sueños;Bedtime Stories;2008;128039679
Morning Light;Morning Light;2008;" 275776
"
High School Musical 3: Fin de Curso/ High School Musical 3: La Gradaución;High School Musical 3: Senior Year;2008;"
106308538"
Roadside Romeo;Roadside Romeo;2008;
Bolt: Un Perro fuera de serie;Bolt;2008;"
133702498"
Jonas Brothers en concierto 3D;Jonas Brothers: The 3D Concert Experience;2009;23,186,9605
La Montaña Embrujada;Race to Witch Mountain;2009;"
75501997"
Hannah Montana: La película;Hannah Montana: The Movie;2009;"
89443640"
La Tierra;Earth;2009;"
35981010"
Los muchachos: la historia de los hermanos Sherman;The Boys: The Sherman Brother's Story;2009;55513
Trail of the Panda;Trail of the Panda;2009;68697
Up: Una Aventura de Altura;Up;2009;329336681
Kika Superbruja y el Libro de Hechizos;Hexe Lilli;2009;16276155
Fuerza G / G-Force: Licencia para espiar;G-Force;2009;"
134246932"
Walt y el grupo;Walt & El Grupo;2009;20521
Space Buddies;Space Buddies;2009;
The Book of Masters;The Book of Masters;2009;11284598
Los Fantasmas de Scrooge / Cuento de navidad;A Christmas Carol;2009;"
154927105"
Par de colmilludos / Dos canguros muy maduros;Old Dogs;2009;"
55503929"
Tinker Bell y el tesoro perdido / Campanilla y el tesoro perdido;Tinker Bell and the Lost Treasure;2009;8582265
La princesa y el sapo / Tiana y el sapo;The Princess and the Frog;2009;116316457
Tinker Bell: Hadas al rescate / Campanilla y el gran rescate;Tinker Bell and the Great Fairy Rescue;2010;10872752
Alicia en el país de las maravillas;Alice in Wonderland;2010;"
357063499"
Océanos;Oceans;2010;20751600
El príncipe de Persia: Las arenas del tiempo;Prince of Persia: The Sands of Time;2010;96971361
Toy Story 3;Toy Story 3;2010;"
443408255"
El aprendiz de brujo;The Sorcerer's Apprentice;2010;"
67473105"
El misterio del los flamencos;The Crimson Wing: Mystery of the Flamingos;2010;1783519
Campeón / Secretariat;Secretariat;2010;63781920
Do Dooni Chaar;Do Dooni Chaar;2010;
Enredados;Tangled;2010;"
214388548"
Tron: El legado / Tron: Legacy;Tron: Legacy;2010;"
183619259"
Anaganaga O Dheerudu;Anaganaga O Dheerudu;2010;
Kika superbruja 2: el viaje a Mandolán;Lilly the Witch: The Journey to Mandolan;2010;
Marte necesita mamás;Mars Needs Moms;2011;"
22741603"
Zokkomon;Zokkomon;2011;3
Felinos de África;African Cats;2011;16401551
Fin de curso;Prom;2011;"
10768946"
Piratas del Caribe: Navegando en aguas misteriosas / Piratas del Caribe:En mareas misteriosas;Pirates of the Caribbean: On Stranger Tides;2011;256263359
Cars 2;Cars 2;2011;"
203522177"
Winnie the Pooh;Winnie the Pooh;2011;"
28375869"
Los Muppets;The Muppets;2011;94189503
John Carter;John Carter of Mars;2012;"
77372445"
Chimpancés;Chimpanzee;2012;"
30675725"
Arjun: El príncipe guerrero;Arjun: The Warrior Prince;2012;10,017
Valiente / Indomable;Brave;2012;"
251292441"
La extraña vida de Timothy Green;The Odd Life of Timothy Green;2012;"
54914942"
Frankenweenie;Frankenweenie;2012;37363513
Ralph el demoledor / ¡Rompe Ralph!;Wreck-It-Ralph;2012;"
200354959"
Tinker Bell y el secreto de las hadas / Campanilla y el secreto de las hadas;Secret of the Wings;2012;627,018
Oz, el poderoso / Oz: Un mundo de fantasía;Oz: The Great and Powerful;2013;493311825
Alas de vida;Wings of Life;2013;192467
Monsters University / Monstruos University;Monsters University;2013;"
278395641"
El llanero solitario;The Lone Ranger;2013;"
92597388"
Aviones;Planes;2013;"
93614037"
Frozen: Una Aventura Congelada / Frozen: El reino de hielo;Frozen;2013;"
414997174"
El sueño de Walt / Al encuentro de Mr. Banks;Saving Mr. Banks;2013;"
86249969"
Muppets 2: Los más buscados / El tour de los Muppets;Muppets Most Wanted;2014;"
52807594"
Osos;Bears;2014;"
18346024"
Un golpe de talento;Million Dollar Arm;2014;"
37607865"
Maléfica;Maleficent;2014;"
249089809"
Aviones 2: Equipo de Rescate / Aviones: Equipo de Rescate;Planes: Fire & Rescue;2014;61040349
Tinker Bell: Hadas y piratas / Campanilla: Hadas y piratas;The Pirate Fairy;2014;63998725
Grandes Héroes / Big Hero 6;Big Hero 6;2014;229249222
Alexander y un día terrible, horrible, malo... ¡muy malo! / Alexander y el día terrible, horrible, espantoso, horroroso;Alexander and the Terrible, Horrible, No Good, Very Bad Day;2014;"
69055550"
En el bosque / Into the Woods;Into the Woods;2014;"
130894237"
